ORD;MUNICÍPIO;IMÓVEL;INAUGURAÇÃO;ENDEREÇO;Latitude ;Longitude
1;Boca da Mata;CISP Tipo I;03/12/2016;Rua Genauro Vieira de Almeida, Bairro: Cajueiro;-9.640554;-36.209029
2;Murici;CISP Tipo I;23/12/2016;BR-104, Murici;-9.306528;-35.940246
3;São José da Tapera;CISP Tipo I;27/12/2016;Av. Manuel Maciano, AL-220;-9.551723;-37.390943
4;São José da Laje;CISP Tipo I;11/01/2017;Praça Osman Costa Pino, Centro;-9.007894;-36.059223
5;Girau do Ponciano;CISP Tipo I;24/02/2017;Rua Projetada H, Morada do Sol – AL 115;-9.880737;-36.816503
6;Ouro Branco;CISP Tipo I;05/05/2017;Rua Sebastião Vieira da Rocha, Centro;-9.162663;-37.360566
7;Cajueiro;CISP Tipo I;17/05/2017;Av. Antonio Carlos de Moraes, 262;-9.399971;-36.145938
8;Viçosa;CISP Tipo I;31/08/2017;Av. Firmino Maia, Centro;-9.371260;-36.246190
9;Junqueiro;CISP Tipo I;30/11/2017;BR-101, Junqueiro AL, 57270, Brasil;-9.909597;-36.470637
10;São Luís do Quitunde;CISP Tipo I;20/12/2017;Av. Fernando Sarmento, Centro;-9.315418;-35.561608
11;Igaci;CISP Tipo I;27/12/2017;Rod. Eduardo Alves da Silva, AL-115;-9.527848;-36.635088
12;Pão de Açúcar;CISP Tipo I;17/02/2018;Rua Gilberto Soares Pinto, Centro – AL 130;-9.747556;-37.432556
13;São Miguel dos Milagres;CISP Tipo I;16/06/2018;Rodovia Al 101 Norte, 01, Centro;-9.251575;-35.364042
14;Batalha;CISP Tipo I;20/06/2018;Rua Afrânio Lages, 01, Centro – AL 220;-9.663332;-37.126344
15;Mata Grande;CISP Tipo I;02/07/2018;Praça Nossa Sra. da Conceição, 01, Centro;-9.116879;-37.731969
16;Major Izidoro;CISP Tipo I;05/07/2018;Rua Amélia Alves, 01, Centro;-9.526732;-36.989896
17;Messias;CISP Tipo I;22/02/2019;Rua Floriano Peixoto, 31 , Messias -AL;-9.393620;-35.838747
18;Teotônio Vilela;CISP Tipo II;01/05/2019;Rua José Monteiro da Silva, 632;-9.913129;-36.353693
19;Campo Alegre;CISP Tipo I;07/06/2019;Rua Maria Vicência, margens da AL 220, 01,Centro;-9.782913;-36.342793
20;Pilar;CISP Tipo II;02/08/2019;Rua Senhor do Bonfim, 01, Chã do Pilar;-9.594621;-35.961399
21;São Sebastião;CISP Tipo I;12/09/2019;Rodovia Dr. Geraldo Cavalcante Cajueiro - AL 110;-9.927900;-36.542357
22;Taquarana;CISP Tipo I;04/10/2019;AL 110,62 -Taquarana -AL;-9.644166;-36.489034
23;Marechal Deodoro;CISP Tipo I;15/11/2019;Rua Dezoito do Forte, Barro vermelho;-9.726364;-35.894156
24;Maribondo;CISP Tipo I;12/03/2020;Rua Senador Arnon de Melo, 997;-9.577690;-36.304238
25;Lagoa da Canoa;CISP Tipo I;13/08/2020;AL 115, Km 16, bairro Sítio Lagoa do Mato, Lagoa da Canoa;-9.820690;-36.731820
26;Coruripe;CISP Tipo I;01/09/2020;Rua do Sol, Lot. Comendador Tercio Wanderley;-10.12121;-36.179826
27;Joaquim Gomes;CISP Tipo I;18/12/2020;Av. Prefeito Osmário Gomes da Silva Rêgo, Bairro: Antônio Celesino Lins – AL 205;-9.140556;-35.760556
28;Porto Real do Colégio;CISP Tipo I;07/05/2021;Av. Governador Moacir Andrade, 777, Centro;-10.18151;-36.831073
29;Craíbas;CISP Tipo I;25/05/2021;Rua do Matadouro, Bairro: São João, Craíbas;-9.623626;-36.773383
30;Matriz de Camaragibe;CISP Tipo I;15/06/2021;AL 105 , Matriz de Camaragibe;-9.160338;-35.537044
31;Novo Lino;CISP Tipo I;09/08/2021;BR 101, Novo Lino;-8.947036;-35.664015
32;Porto de Pedras;CISP Tipo I;24/09/2021;Rodovia Al 101 Norte, Porto de Pedras;-9.173553;-35.303168
33;Palmeira dos Índios;CISP Tipo II;17/12/2021;BR 316, Juca Sampaio;-9.424166;-36.630108
34;Piaçabuçu;CISP Tipo I;18/12/2021;Rodovia Engenheiro Dalmo Moreira Santana AL 225;-10.39907;-36.430743
35;Rio Largo;CISP Tipo II;14/03/2022;BR 104 ,3304 – Tabuleiro Do Pinto;-9.503175;-35.809571
36;Penedo;CISP Tipo II;22/03/2022;Rua Projetada 36, Bairro Raimundo Marinho;-10.27624;-36.548146
